Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet
C1,C3,C4;3;100n;;;;Capacitor_SMD:C_0805_2012Metric;~
C2,C6,C7;3;10u;;;;Capacitor_SMD:C_1206_3216Metric;~
C5;1;470u;;;;Capacitor_THT:CP_Radial_D8.0mm_P3.50mm;~
J1,J2,J3,J4;4;Conn_01x03_Pin;;;;Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical;~
J5;1;SERVO_POWER_IN;;;;Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal;~
J6;1;LOGIC_POWER_IN;;;;Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal;~
J7;1;UART_PROGRAM;;;;Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical;~
R1,R2;2;4.7k;;;;Resistor_SMD:R_0805_2012Metric;~
R3,R4,R5;3;10k;;;;Resistor_SMD:R_0805_2012Metric;~
SW1;1;RESET;;;;Button_Switch_THT:SW_PUSH_6mm;~
SW2;1;BOOT;;;;Button_Switch_THT:SW_PUSH_6mm;~
U1;1;ESP32-WROOM-32E;;;;RF_Module:ESP32-WROOM-32D;https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf
U2;1;MPU-6050;;;;Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm;https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf
U3;1;BMP280;;;;Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering;https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf
U4;1;AMS1117-3.3;;;;Package_TO_SOT_SMD:SOT-223-3_TabPin2;http://www.advanced-monolithic.com/pdf/ds1117.pdf
